<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220501;010000;37.638.7800000;37.823.1300000;37.506.8200000;37.710.9500000;29
20220501;020000;37.685.3700000;38.078.2000000;37.400.0000000;37.950.9500000;116
20220501;030000;37.931.0000000;38.078.2000000;37.798.3700000;37.849.0400000;28
20220501;040000;37.872.3500000;38.073.6300000;37.829.3400000;38.063.7700000;11
20220501;050000;38.063.7700000;38.073.6300000;37.899.4800000;37.970.8600000;3
20220501;060000;37.982.7000000;38.194.8600000;37.940.4600000;38.085.3000000;13
20220501;070000;38.092.9800000;38.155.8700000;37.957.0000000;37.975.9000000;5
20220501;080000;37.980.3500000;38.007.4100000;37.916.6000000;37.980.1000000;11
20220501;090000;37.982.4700000;38.095.9500000;37.949.1100000;38.049.6300000;15
20220501;100000;38.067.1200000;38.079.9300000;37.886.3400000;37.987.8000000;11
20220501;110000;37.999.2000000;38.095.0500000;37.963.5100000;38.037.8100000;22
20220501;120000;38.048.5600000;38.068.9100000;37.919.3700000;37.963.8700000;95
20220501;130000;37.963.7500000;38.045.1200000;37.869.6200000;37.967.7000000;3
20220501;140000;37.995.2000000;38.046.7000000;37.922.9900000;37.940.0900000;0
20220501;150000;37.925.3200000;38.026.9100000;37.900.1900000;37.999.5000000;4
20220501;160000;37.999.5000000;38.634.0800000;37.984.5400000;38.495.2800000;92
20220501;170000;38.515.4600000;38.672.2000000;38.411.8000000;38.509.5300000;62
20220501;180000;38.500.5800000;38.599.6300000;38.365.9600000;38.379.4900000;13
20220501;190000;38.379.4900000;38.408.0000000;37.923.1700000;37.930.0200000;81
20220501;200000;37.930.0200000;38.000.0000000;37.742.7300000;37.796.4000000;65
20220501;210000;37.803.3200000;38.340.9000000;37.659.2400000;38.324.6000000;60
20220501;220000;38.345.0400000;38.443.0100000;38.102.2500000;38.343.6600000;58
20220501;230000;38.332.9000000;38.576.5900000;38.074.5500000;38.307.0900000;38
20220502;000000;38.310.5200000;38.645.9400000;38.240.5800000;38.488.3400000;31
20220502;010000;38.484.4600000;38.814.5700000;38.462.9000000;38.680.0100000;27
20220502;020000;38.701.0000000;38.754.9500000;38.492.1000000;38.502.1300000;21
20220502;030000;38.456.8500000;38.654.3000000;38.373.2400000;38.630.2500000;4
20220502;040000;38.630.4500000;38.713.9900000;38.605.3100000;38.699.1700000;7
20220502;050000;38.695.5600000;39.133.6600000;38.601.3900000;38.992.9100000;38
20220502;060000;38.980.9200000;39.037.8300000;38.873.9500000;39.023.6900000;9
20220502;070000;39.022.0700000;39.153.1300000;38.933.8200000;38.933.8200000;48
20220502;080000;38.949.5400000;39.049.4100000;38.826.1400000;38.867.4400000;2
20220502;090000;38.868.0100000;39.005.7100000;38.757.6400000;38.934.9700000;14
20220502;100000;38.899.5900000;39.072.2000000;38.770.4900000;38.785.2700000;2
